project_id	OA2011_GSS
mm.domus.EM098	E00098400
mm.domus.EM099	E00138736
mm.domus.EM100	E00133513
mm.domus.EM101	E00099906
mm.domus.EM102	E00099342
mm.domus.EM103	E00144240
mm.domus.EM104	E00130489
mm.domus.EM105	E00169458
mm.domus.EM106	E00099754
mm.domus.EM107	E00133006
mm.domus.EM108	E00131683
mm.domus.EM109	E00131185
mm.domus.EM110	E00132618
mm.domus.EM111	E00099861
mm.domus.EM112	E00169502
mm.domus.NE001	E00042825
mm.domus.NE002	E00104477
mm.domus.NE003	E00105819
mm.domus.NE004	E00104634
mm.domus.NE005	E00043673
mm.domus.NE006	E00139323
mm.domus.NE007	E00061909
mm.domus.NE008	E00174160
mm.domus.NE009	E00061864
mm.domus.NE011	E00105832
mm.domus.NE012	E00060916
mm.domus.NE013	E00060841
mm.domus.NE014	E00060695
mm.domus.NE015	E00060986
mm.domus.NE016	E00139874
mm.domus.NE017	E00139939
mm.domus.NE018	E00060873
mm.domus.NE019	E00060986
mm.domus.NE020	E00171794
mm.domus.NE021	E00139187
mm.domus.NE022	E00171872
mm.domus.NE023	E00060387
mm.domus.NE024	E00060483
mm.domus.NE026	E00042579
mm.domus.NE027	E00170218
mm.domus.NE028	E00042825
mm.domus.NE029	E00041850
mm.domus.NE030	E00043651
mm.domus.NE031	E00043074
mm.domus.NE032	E00044835
mm.domus.NE033	E00043660
mm.domus.NE035	E00045060
mm.domus.NE036	E00061443
mm.domus.NE037	E00139331
mm.domus.NE038	E00061061
mm.domus.NE039	E00139323
mm.domus.NE040	E00139330
mm.domus.NE041	E00061131
mm.domus.NE042	E00044950
mm.domus.NE043	E00139722
mm.domus.NE044	E00175564
mm.domus.NE045	E00041793
mm.domus.NE046	E00042825
mm.domus.NE047	E00170213
mm.domus.NE048	E00042832
mm.domus.NE049	E00061001
mm.domus.NE051	E00043458
mm.domus.NE052	E00171795
mm.domus.NE053	E00105080
mm.domus.NE054	E00105080
mm.domus.NE055	E00042580
mm.domus.NE056	E00042580
mm.domus.NE057	E00042580
mm.domus.NE058	E00042580
mm.domus.NE061	E00106025
mm.domus.NE062	E00139902
mm.domus.NE063	E00140178
mm.domus.NE064	E00176345
mm.domus.NE065	E00105566
mm.domus.NE066	E00062312
mm.domus.NE067	E00062058
mm.domus.NE068	E00139865
mm.domus.NE069	E00171794
mm.domus.NE071	E00139336
mm.domus.NE072	E00044931
mm.domus.NE073	E00139694
mm.domus.NE074	E00139288
mm.domus.NE075	E00140031
mm.domus.NE076	E00044091
mm.domus.NE077	E00140005
mm.domus.NE078	E00139874
mm.domus.NE079	E00060526
mm.domus.NE080	E00174086
mm.domus.NE081	E00139336
mm.domus.NE082	E00061282
mm.domus.NE083	E00172409
mm.domus.NI002	N00002673
mm.domus.NI003	N00003040
mm.domus.NI004	N00002613
mm.domus.NI005	N00002613
mm.domus.NI006	N00003371
mm.domus.NI007	N00000581
mm.domus.NI008	N00004148
mm.domus.NI009	N00001646
mm.domus.NI010	N00003040
mm.domus.NI011	N00000474
mm.domus.NI013	N00000340
mm.domus.NI014	N00002613
mm.domus.NI015	N00004387
mm.domus.NI016	N00004242
mm.domus.NI017	N00001008
mm.domus.NI018	N00000474
mm.domus.NI019	N00002673
mm.domus.NI020	N00002127
mm.domus.NI021	N00001248
mm.domus.NI022	N00000359
mm.domus.NI023	N00000699
mm.domus.NI024	N00000369
mm.domus.NI025	N00003655
mm.domus.NI026	N00003615
mm.domus.NI027	N00003697
mm.domus.NI028	N00002782
mm.domus.NI029	N00002991
mm.domus.NI030	N00001655
mm.domus.NI032	N00000529
mm.domus.NI034	N00004500
mm.domus.NI035	N00001663
mm.domus.NI036	N00003104
mm.domus.NI037	N00003232
mm.domus.NI038	N00002082
mm.domus.NW001	E00097839
