project_id	mm_size
mm.domus.NI013	medium
mm.domus.NI014	medium
mm.domus.NI015	very_large
mm.domus.NI016	very_large
mm.domus.NI017	very_large
mm.domus.NI018	small
mm.domus.NI019	small
mm.domus.NI020	small
mm.domus.NI021	tiny
mm.domus.NI022	very_small
mm.domus.NI023	small
mm.domus.NI024	medium
mm.domus.NI025	very_small
mm.domus.NI026	unknown
mm.domus.NI027	medium
mm.domus.NI028	medium
mm.domus.NI029	medium
mm.domus.NI030	very_small
mm.domus.NI032	medium
mm.domus.NI034	unknown
mm.domus.NI035	very_small
mm.domus.NI036	very_small
mm.domus.NI037	small
mm.domus.NI038	small
mm.domus.NW001	medium
mm.domus.NW002	small
mm.domus.NW003	small
mm.domus.NW004	large
mm.domus.NW005	medium
mm.domus.NW006	small
mm.domus.NW007	very_small
mm.domus.NW008	very_large
mm.domus.NW009	medium
mm.domus.NW011	small
mm.domus.NW012	small
mm.domus.NW013	unknown
mm.domus.NW014	medium
mm.domus.NW015	medium
mm.domus.NW016	very_small
mm.domus.NW017	medium
mm.domus.NW018	small
mm.domus.NW019	medium
mm.domus.NW020	large
mm.domus.NW021	very_large
mm.domus.NW022	very_small
mm.domus.NW023	small
mm.domus.NW024	small
mm.domus.NW025	medium
mm.domus.NW026	small
mm.domus.NW027	very_large
mm.domus.NW028	small
mm.domus.NW029	large
mm.domus.NW031	very_small
mm.domus.NW032	very_small
mm.domus.NW033	very_small
mm.domus.NW034	small
mm.domus.NW035	medium
mm.domus.NW036	small
mm.domus.NW038	small
mm.domus.NW039	medium
mm.domus.NW040	small
mm.domus.NW041	medium
mm.domus.NW042	medium
mm.domus.NW043	small
mm.domus.NW044	small
mm.domus.NW045	very_small
mm.domus.NW046	large
mm.domus.NW048	very_small
mm.domus.NW049	large
mm.domus.NW050	medium
mm.domus.NW052	medium
mm.domus.NW053	large
mm.domus.NW054	small
mm.domus.NW055	tiny
mm.domus.NW056	small
mm.domus.NW057	small
mm.domus.NW058	medium
mm.domus.NW059	small
mm.domus.NW060	large
mm.domus.NW061	small
mm.domus.NW062	small
mm.domus.NW064	small
mm.domus.NW065	very_small
mm.domus.NW067	small
mm.domus.NW068	very_small
mm.domus.NW069	very_small
mm.domus.NW070	very_large
mm.domus.NW071	small
mm.domus.NW072	small
mm.domus.NW073	unknown
mm.domus.NW074	large
mm.domus.NW075	medium
mm.domus.NW076	small
mm.domus.NW078	very_large
mm.domus.NW079	small
mm.domus.NW080	small
mm.domus.NW081	small
mm.domus.NW082	small
mm.domus.NW083	small
mm.domus.NW084	small
mm.domus.NW085	very_large
mm.domus.NW086	large
mm.domus.NW087	medium
mm.domus.NW088	small
mm.domus.NW089	unknown
mm.domus.NW090	unknown
mm.domus.NW091	unknown
mm.domus.NW093	small
mm.domus.NW094	very_small
mm.domus.NW095	medium
mm.domus.NW096	small
mm.domus.NW098	large
mm.domus.NW099	very_large
mm.domus.NW100	very_large
mm.domus.NW101	very_large
mm.domus.NW102	very_large
mm.domus.NW103	very_large
mm.domus.NW104	large
mm.domus.NW105	very_large
mm.domus.NW106	small
mm.domus.NW109	very_large
mm.domus.NW110	very_small
mm.domus.NW113	medium
mm.domus.NW114	small
mm.domus.NW115	small
mm.domus.NW118	small
mm.domus.NW120	small
mm.domus.NW121	medium
mm.domus.NW122	small
mm.domus.NW125	very_large
mm.domus.NW127	very_small
mm.domus.NW128	very_small
