project_id	LSOA2011_GSS
mm.mald.037	W01000121
mm.domus.YH044	E01007336
mm.domus.NE068	E01027481
mm.aim.0231	E01026957
mm.hha.162	S01012633
mm.domus.SW179	E01020466
mm.domus.SW029	E01022194
mm.fcm.064	S01012255
mm.aim82NM.038	E01018831
mm.wiki.028	E01018898
mm.wiki.029	E01018968
mm.misc.047	E01019050
mm.domus.SW078	E01018995
mm.hha.188	W01001554
mm.domus.SW028	E01018840
mm.domus.SW104	E01018935
mm.domus.SC081	S01011810
mm.mald.038	W01000060
mm.hha.064	E01031952
mm.aim.0304	W01000193
mm.musa.092	E01018756
mm.domus.SW199	E01018756
mm.domus.SW200	E01018756
mm.musa.093	E01017351
mm.misc.094	E01022177
mm.domus.SW030	E01022213
mm.aim.0234	E01022181
mm.domus.NW048	E01025099
mm.hha.095	E01027022
mm.aim.1025	E01031516
mm.fcm.067	E01026822
mm.aim82NM.023	E01029160
mm.ace.1199	E01022183
mm.wiki.221	E01024582
mm.domus.SE383	E01004735
mm.domus.SC089	S01011017
mm.wiki.374	E01009642
mm.domus.WM088	E01009638
mm.aim.0236	E01009642
mm.aim82M.032	S01012579
mm.domus.WA029	W01001084
mm.domus.SE184	E01017300
mm.domus.SE240	E01016797
mm.musa.095	E01024235
mm.domus.SW032	E01030885
mm.domus.NE074	E01027373
mm.nimc.016	95LL10S2
mm.domus.SC090	S01009714
mm.musa.096	E01024706
mm.domus.SE252	E01024790
mm.wiki.257	E01026209
mm.domus.SC320	S01012571
mm.domus.SE454	E01031598
mm.wiki.080	E01020060
mm.musa.097	S01007520
mm.mgs.370	S01007520
mm.domus.NW186	
mm.hha.190	W01000563
mm.domus.EM081	E01019496
mm.wiki.022	E01018464
mm.domus.SW033	E01029185
mm.domus.SW034	E01031935
mm.ace.1091	E01013999
mm.wiki.398	E01031843
mm.musa.099	E01000754
mm.domus.SC092	S01010731
mm.domus.SE113	E01026735
mm.aim.0983	E01019619
mm.domus.SE245	E01018151
mm.aim.0244	E01001683
mm.domus.NW052	E01006627
mm.aim.0245	E01030594
mm.domus.SE013	E01001043
mm.domus.SE243	E01000740
mm.domus.SE242	E01031728
mm.fcm.072	E01018648
mm.musa.100	S01010567
mm.domus.SC044	S01009282
mm.fcm.073	E01019104
mm.domus.SC315	S01011745
mm.domus.NW032	E01019332
mm.domus.NW029	E01019204
mm.domus.SE014	E01032722
mm.aim.0249	S01009687
mm.domus.SE221	E01022576
mm.aim82M.068	E01014750
mm.domus.YH054	E01007581
mm.domus.WA031	W01001306
mm.domus.WA030	W01001148
mm.domus.EM025	E01028112
mm.fcm.074	E01026468
mm.domus.SC091	S01007540
mm.hha.136	E01019311
mm.domus.YH049	E01027753
mm.mgs.284	S01011307
mm.musa.101	S01011005
mm.misc.160	S01011168
mm.mgs.373	S01009002
mm.musa.102	95CC15W1
mm.aim82M.064	W01000496
mm.ace.1193	E01000389
mm.domus.WM129	E01014149
mm.domus.SE260	E01024182
mm.fcm.075	E01020323
mm.domus.SW186	E01020152
mm.aim.0254	E01012654
mm.wiki.207	E01023467
mm.domus.EM026	E01026991
mm.wiki.379	E01011174
mm.domus.SC093	S01012773
mm.wiki.066	E01019615
mm.wiki.030	E01018968
mm.domus.SW035	E01020235
mm.ace.1204	E01023583
mm.aim.0130	E01033300
mm.musa.109	E01024231
mm.domus.SE336	E01024228
mm.domus.SC097	S01007961
mm.domus.SW036	E01022257
mm.domus.SW037	E01022249
mm.hha.096	E01027043
mm.misc.013	E01024667
mm.wiki.458	S01007013
mm.domus.SC275	S01009032
mm.domus.WA015	W01000194
mm.mald.042	W01000194
mm.wiki.067	E01019448
mm.wiki.156	E01004307
mm.domus.SC095	S01013195
mm.domus.SW144	E01014542
mm.domus.EM034	E01013479
mm.fcm.078	E01013524
mm.domus.EM035	E01013479
mm.wiki.423	95MM26S1
mm.ace.1239	E01032971
mm.domus.SE015	E01002817
mm.mgs.362	S01007675
mm.aim.0358	E01015046
mm.domus.SW038	E01020183
mm.wiki.023	E01018326
mm.wiki.380	E01011134
mm.aim82NM.035	E01011257
mm.wiki.381	E01011130
mm.domus.YH012	E01011141
mm.misc.074	S01008267
mm.domus.SC096	S01007979
mm.musa.112	E01024705
mm.domus.SE259	E01028623
mm.ace.023	E01013369
mm.domus.SE468	E01033239
mm.mald.043	W01000676
mm.aim.1047	E01020340
mm.domus.SC098	S01010714
mm.aim.0262	E01017290
