GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
E01000915	3	2	4	7	5	9	1	3	england
E01000916	4	4	5	6	4	8	1	5	england
E01000917	1	1	1	3	3	4	1	2	england
E01000918	3	3	4	8	5	4	1	4	england
E01000919	4	5	6	7	5	1	1	4	england
E01000920	5	4	6	9	7	7	1	6	england
E01000921	4	5	6	9	6	2	1	5	england
E01000922	3	3	3	6	2	3	2	4	england
E01000923	4	3	3	9	2	3	2	7	england
E01000924	6	5	6	10	6	4	2	7	england
E01000925	2	1	2	5	3	5	2	2	england
E01000926	4	3	5	7	4	3	2	6	england
E01000927	5	5	5	8	5	2	1	8	england
E01000928	4	3	3	9	3	3	2	6	england
E01000929	3	2	3	5	5	3	3	3	england
E01000930	2	1	3	5	2	2	1	3	england
E01000931	2	2	2	6	3	1	1	2	england
E01000932	4	3	4	8	3	4	2	8	england
E01000933	3	4	3	9	3	1	1	7	england
E01000934	2	1	2	8	1	3	1	2	england
E01000935	2	1	2	6	2	4	2	2	england
E01000936	3	4	5	5	6	5	1	4	england
E01000937	5	8	10	6	7	4	1	3	england
E01000938	2	3	3	6	4	1	1	2	england
E01000939	1	1	2	3	4	1	1	3	england
E01000940	4	3	5	6	5	6	1	2	england
E01000941	2	2	2	5	2	1	1	2	england
E01000942	6	8	10	7	8	6	1	5	england
E01000943	4	6	6	9	6	4	1	3	england
E01000944	3	3	5	4	3	7	2	2	england
E01000945	3	4	5	6	2	4	1	2	england
E01000946	6	4	7	9	7	8	2	6	england
E01000947	3	3	4	8	3	2	1	3	england
E01000948	3	4	3	8	3	1	1	5	england
E01000949	4	3	4	5	4	6	2	4	england
E01000950	2	2	2	2	3	3	1	2	england
E01000951	2	2	3	4	3	3	2	2	england
E01000952	2	2	2	4	2	2	2	2	england
E01000953	1	1	2	4	2	1	1	2	england
E01000954	2	1	2	2	3	6	3	3	england
E01000955	2	2	2	3	3	2	2	3	england
E01000956	2	2	3	4	3	3	1	2	england
E01000957	3	2	3	5	3	2	3	3	england
E01000958	2	2	3	5	2	7	2	2	england
E01000959	2	2	2	4	4	1	2	2	england
E01000960	4	5	6	6	7	3	1	4	england
E01000961	3	2	3	7	5	3	3	4	england
E01000962	8	9	10	10	9	4	2	7	england
E01000963	7	7	10	8	9	6	1	7	england
E01000964	5	4	4	7	7	4	2	5	england
E01000965	4	3	6	9	4	2	1	8	england
E01000966	8	10	10	10	9	3	2	6	england
E01000967	8	9	10	8	10	3	2	7	england
E01000968	5	5	7	8	7	2	2	8	england
E01000969	8	8	10	10	10	5	1	8	england
E01000970	6	7	9	9	6	5	1	7	england
E01000971	7	7	8	10	7	8	1	9	england
E01000972	2	2	2	8	3	4	1	2	england
E01000973	3	3	4	6	4	1	1	6	england
E01000974	3	2	3	7	2	2	1	4	england
E01000975	5	4	6	7	6	3	2	3	england
E01000976	4	4	5	8	5	3	1	2	england
E01000977	3	3	2	6	3	3	3	2	england
E01000978	4	6	6	8	6	3	1	1	england
E01000979	5	6	7	7	6	3	2	2	england
E01000980	4	4	4	7	4	2	4	4	england
E01000981	6	5	6	6	8	3	4	5	england
E01000982	5	4	6	5	6	4	4	5	england
E01000983	7	7	8	8	8	4	4	5	england
E01000984	3	3	4	6	3	3	3	2	england
E01000985	8	8	8	8	8	5	7	6	england
E01000986	7	6	7	8	8	5	5	4	england
E01000987	9	9	9	8	8	6	5	7	england
E01000989	8	7	8	6	9	5	7	4	england
E01000990	2	2	2	2	3	4	4	2	england
E01000991	9	9	10	7	9	7	7	3	england
E01000992	2	2	2	4	3	2	5	2	england
E01000993	7	6	7	7	8	3	6	5	england
E01000994	5	4	5	7	8	2	6	2	england
E01000995	4	4	5	6	8	2	2	2	england
E01000996	5	4	5	7	7	2	5	4	england
E01000997	4	3	4	6	5	2	4	3	england
E01000998	2	3	2	5	5	2	3	2	england
E01000999	4	4	4	6	5	2	3	3	england
E01001000	3	3	3	6	4	1	3	2	england
E01001001	2	2	2	5	5	1	2	2	england
E01001002	4	3	5	5	6	3	4	3	england
E01001003	3	3	4	6	5	2	3	2	england
E01001004	3	2	4	5	5	4	5	2	england
E01001005	4	4	6	5	7	1	3	2	england
E01001006	2	2	3	4	4	1	6	1	england
